OS01W :     Name
OS00M :     Annual Report Net Expense Ratio
OS828 :     Annual Report Ongoing Charge
OS829 :     Annual Report Ongoing Charge Date
OS00J :     Annual Report Gross Expense Ratio
LF00I :     Prospectus Objective
OS141 :     Turnover Ratio % Date
OS03S :     Turnover Ratio %
SW010 :     Semi-Annual Report Turnover Ratio %
SW011 :     Semi-Annual Report Turnover Ratio % Date
SW012 :     Other Sources Turnover Ratio %
SW013 :     Other Sources Turnover Ratio % Date
OS00I :     SecId
OS06Y :     PerformanceId
OF00N :     FundId
OS05K :     CUSIP
LS466 :     Investment Type
OS458 :     Performance Data Ready
OS459 :     Price Data Ready
OS460 :     Operations Data Ready
OS461 :     Portfolio Data Ready
DN001 :     Note Effective Date
DN005 :     Related Notes
OS60N :     Primary Share in Market
OS086 :     Target Date Report Date
OS674 :     Equity Profile Report Date
ZZ006 :     Annual Report Adjusted Expense Ratio
ZZ007 :     Prospectus Adjusted Expense Ratio
TFCAT :     Submarket
QFR0G :     Portfolio Risk Score Date
QFR0H :     Portfolio Risk Score
OS05P :     Prospectus Net Expense Ratio
OS05O :     Prospectus Gross Expense Ratio
LC401 :     Low Carbon Transition Effective Date
LC402 :     Low Carbon Transition Portfolio Effective Date
LC403 :     Low Carbon Transition Eligible Holding Type
LC404 :     Low Carbon Transition % of Portfolio Eligible
LC405 :     Low Carbon Transition % of Portfolio Not Eligible
LC406 :     Low Carbon Transition % of Portfolio Covered
LC407 :     Low Carbon Transition % of Portfolio Eligible Not Covered
LC408 :     Low Carbon Transition % of Portfolio Not Covered
LC409 :     Low Carbon Transition % of Eligible Portfolio Covered
LC410 :     Low Carbon Transition % of Eligible Portfolio Not Covered
LC411 :     Low Carbon Transition Number of Holdings Covered
LC412 :     Portfolio Expected Cumulative GHG Emissions 2050 All Scopes
LC413 :     Portfolio Expected Cumulative GHG Emissions 2050 Scope 1
LC414 :     Portfolio Expected Cumulative GHG Emissions 2050 Scope 2
LC415 :     Portfolio Expected Cumulative GHG Emissions 2050 Scope 3 Upstream
LC416 :     Portfolio Expected Cumulative GHG Emissions 2050 Scope 3 Downstream
LC417 :     Portfolio Baseline Cumulative GHG Emissions 2050 All Scopes
LC418 :     Portfolio Baseline Cumulative GHG Emissions 2050 Scope 1
LC419 :     Portfolio Baseline Cumulative GHG Emissions 2050 Scope 2
LC420 :     Portfolio Baseline Cumulative GHG Emissions 2050 Scope 3 Upstream
LC421 :     Portfolio Baseline Cumulative GHG Emissions 2050 Scope 3 Downstream
LC422 :     Portfolio Baseline Cumulative GHG Emissions 2050 Contribution Scope 1
LC423 :     Portfolio Baseline Cumulative GHG Emissions 2050 Contribution Scope 2
LC424 :     Portfolio Baseline Cumulative GHG Emissions 2050 Contribution Scope 3 Upstream
LC425 :     Portfolio Baseline Cumulative GHG Emissions 2050 Contribution Scope 3 Downstream
LC426 :     Portfolio Net Zero Budget Cumulative Emissions 2050 All Scopes
LC427 :     Portfolio Net Zero Budget Cumulative Emissions 2050 Scope 1
LC428 :     Portfolio Net Zero Budget Cumulative Emissions 2050 Scope 2
LC429 :     Portfolio Net Zero Budget Cumulative Emissions 2050 Scope 3 Upstream
LC430 :     Portfolio Net Zero Budget Cumulative Emissions 2050 Scope 3 Downstream
LC431 :     Portfolio Expected Cumulative GHG Emissions Gap 2050 All Scopes
LC432 :     Portfolio Expected Cumulative GHG Emissions Gap 2050 Scope 1
LC433 :     Portfolio Expected Cumulative GHG Emissions Gap 2050 Scope 2
LC434 :     Portfolio Expected Cumulative GHG Emissions Gap 2050 Scope 3 Upstream
LC435 :     Portfolio Expected Cumulative GHG Emissions Gap 2050 Scope 3 Downstream
LC436 :     Portfolio Baseline Cumulative GHG Emissions Gap 2050 All Scopes
LC437 :     Portfolio Baseline Cumulative GHG Emissions Gap 2050 Scope 1
LC438 :     Portfolio Baseline Cumulative GHG Emissions Gap 2050 Scope 2
LC439 :     Portfolio Baseline Cumulative GHG Emissions Gap 2050 Scope 3 Upstream
LC440 :     Portfolio Baseline Cumulative GHG Emissions Gap 2050 Scope 3 Downstream
LC441 :     Portfolio Expected Cumulative GHG Emissions Gap % 2050 All Scopes
LC442 :     Portfolio Expected Cumulative GHG Emissions Gap % 2050 Scope 1
LC443 :     Portfolio Expected Cumulative GHG Emissions Gap % 2050 Scope 2
LC444 :     Portfolio Expected Cumulative GHG Emissions Gap % 2050 Scope 3 Upstream
LC445 :     Portfolio Expected Cumulative GHG Emissions Gap % 2050 Scope 3 Downstream
LC446 :     Portfolio Baseline Cumulative GHG Emissions Gap % 2050 All Scopes
LC447 :     Portfolio Baseline Cumulative GHG Emissions Gap % 2050 Scope 1
LC448 :     Portfolio Baseline Cumulative GHG Emissions Gap % 2050 Scope 2
LC449 :     Portfolio Baseline Cumulative GHG Emissions Gap % 2050 Scope 3 Upstream
LC450 :     Portfolio Baseline Cumulative GHG Emissions Gap % 2050 Scope 3 Downstream
LC451 :     Portfolio Implied Temperature Rise Score All Scopes
LCT56 :     Portfolio Implied Temperature Rise Score Category All Scopes
LCT57 :     Portfolio Implied Temperature Rise Score Category Scope 1
LCT58 :     Portfolio Implied Temperature Rise Score Category Scope 2
LCT59 :     Portfolio Implied Temperature Rise Score Category Scope 3 Upstream
LCT60 :     Portfolio Implied Temperature Rise Score Category Scope 3 Downstream
LCT61 :     Portfolio GHG Emissions Exposure Score All Scopes
LCT62 :     Portfolio TCFD Disclosure Sufficiency
LCT63 :     Portfolio TCFD Disclosure Sufficiency Grade
LCT64 :     Portfolio GHG Emissions Management Score All Scopes
LCT65 :     Portfolio GHG Emissions Management Score Scope 1
LCT66 :     Portfolio GHG Emissions Management Score Scope 2
LCT67 :     Portfolio GHG Emissions Management Score Scope 3 Upstream
LCT68 :     Portfolio GHG Emissions Management Score Scope 3 Downstream
LCT69 :     Portfolio GHG Emissions Management Score Category All Scopes
LCT70 :     Portfolio TCFD Governance Score
LCT71 :     Portfolio TCFD Strategy Score
LCT72 :     Portfolio TCFD Risk Management Score
LCT73 :     Portfolio TCFD Metrics and Targets Score
LCT74 :     Portfolio TCFD Other Management Score
LCT75 :     Portfolio TCFD Governance Score Category
LCT76 :     Portfolio TCFD Strategy Score Category
LCT77 :     Portfolio TCFD Risk Management Score Category
LCT78 :     Portfolio TCFD Metrics and Targets Score Category
LCT79 :     Portfolio TCFD Other Management Score Category
LCT81 :     Portfolio Implied Temperature Rise Score All Scopes Category Average
LC082 :     Low Carbon Transition Market Value at Risk Eligible Holding Type
LC083 :     Low Carbon Transition Market Value at Risk Number of Holdings Covered
LC084 :     Low Carbon Transition Market Value at Risk % of Eligible Portfolio Covered
LC085 :     Low Carbon Transition Market Value at Risk % of Eligible Portfolio Not Covered
LC086 :     Low Carbon Transition Market Value at Risk % of Portfolio Covered
LC087 :     Low Carbon Transition Market Value at Risk % of Portfolio Eligible
LC088 :     Low Carbon Transition Market Value at Risk % of Portfolio Eligible Not Covered
LC089 :     Low Carbon Transition Market Value at Risk % of Portfolio Not Covered
LC090 :     Low Carbon Transition Market Value at Risk % of Portfolio Not Eligible
LC091 :     Low Carbon Transition Overall Value at Risk Eligible Holding Type
LC092 :     Low Carbon Transition Overall Value at Risk Number of Holdings Covered
LC093 :     Low Carbon Transition Overall Value at Risk % of Eligible Portfolio Covered
LC094 :     Low Carbon Transition Overall Value at Risk % of Eligible Portfolio Not Covered
LC095 :     Low Carbon Transition Overall Value at Risk % of Portfolio Covered
LC096 :     Low Carbon Transition Overall Value at Risk % of Portfolio Eligible
LC097 :     Low Carbon Transition Overall Value at Risk % of Portfolio Eligible Not Covered
LC098 :     Low Carbon Transition Overall Value at Risk % of Portfolio Not Covered
LC099 :     Low Carbon Transition Overall Value at Risk % of Portfolio Not Eligible
LC100 :     Low Carbon Transition Policy Value at Risk Eligible Holding Type
LC101 :     Low Carbon Transition Policy Value at Risk Number of Holdings Covered
LC102 :     Low Carbon Transition Policy Value at Risk % of Eligible Portfolio Covered
LC103 :     Low Carbon Transition Policy Value at Risk % of Eligible Portfolio Not Covered
LC104 :     Low Carbon Transition Policy Value at Risk % of Portfolio Covered
LC105 :     Low Carbon Transition Policy Value at Risk % of Portfolio Eligible
LC106 :     Low Carbon Transition Policy Value at Risk % of Portfolio Eligible Not Covered
LC107 :     Low Carbon Transition Policy Value at Risk % of Portfolio Not Covered
LC108 :     Low Carbon Transition Policy Value at Risk % of Portfolio Not Eligible
LC109 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero 2030 All Scopes
LC110 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap 2030 All Scopes
LC111 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap % 2030 All Scopes
LC112 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero 2030 All Scopes
LC113 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap 2030 All Scopes
LC114 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap % 2030 All Scopes
LC115 :     Portfolio Budget Cumulative GHG Emissions IPR Net Zero 2030 All Scopes
LC116 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero 2030 Scope 1
LC117 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap 2030 Scope 1
LC118 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap % 2030 Scope 1
LC119 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero 2030 Scope 1
LC120 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap 2030 Scope 1
LC121 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap % 2030 Scope 1
LC122 :     Portfolio Budget Cumulative GHG Emissions Gap IPR Net Zero 2030 Scope 1
LC123 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero 2030 Scope 2
LC124 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap 2030 Scope 2
LC125 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap % 2030 Scope 2
LC126 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero 2030 Scope 2
LC127 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap 2030 Scope 2
LC128 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap % 2030 Scope 2
LC129 :     Portfolio Budget Cumulative GHG Emissions Gap IPR Net Zero 2030 Scope 2
LC130 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero 2030 Scope 3 Downstream
LC131 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap 2030 Scope 3 Downstream
LC132 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap % 2030 Scope 3 Downstream
LC133 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero 2030 Scope 3 Downstream
LC134 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap 2030 Scope 3 Downstream
LC135 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap % 2030 Scope 3 Downstream
LC136 :     Portfolio Budget Cumulative GHG Emissions Gap IPR Net Zero 2030 Scope 3 Downstream
LC137 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero 2030 Scope 3 Upstream
LC138 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap 2030 Scope 3 Upstream
LC139 :     Portfolio Baseline Cumulative GHG Emissions IPR Net Zero Gap % 2030 Scope 3 Upstream
LC140 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero 2030 Scope 3 Upstream
LC141 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap 2030 Scope 3 Upstream
LC142 :     Portfolio Expected Cumulative GHG Emissions IPR Net Zero Gap % 2030 Scope 3 Upstream
LC143 :     Portfolio Budget Cumulative GHG Emissions Gap IPR Net Zero 2030 Scope 3 Upstream
LC144 :     Low Carbon Transition Overall Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 USD
LC145 :     Low Carbon Transition Overall Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 GBP
LC146 :     Low Carbon Transition Overall Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 EUR
LC147 :     Low Carbon Transition Overall Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 HKD
LC148 :     Low Carbon Transition Overall Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 NZD
LC149 :     Low Carbon Transition Overall Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 AUD
LC150 :     Low Carbon Transition Overall Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 CHF
LC151 :     Low Carbon Transition Overall Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 SGD
LC152 :     Low Carbon Transition Overall Value at Risk IPR Net Zero Cumulative 2050 per USD Millions
LC153 :     Low Carbon Transition Overall Value at Risk IPR Net Zero Cumulative 2050 per GBP Millions
LC154 :     Low Carbon Transition Overall Value at Risk IPR Net Zero Cumulative 2050 per EUR Millions
LC155 :     Low Carbon Transition Overall Value at Risk IPR Net Zero Cumulative 2050 per HKD Millions
LC156 :     Low Carbon Transition Overall Value at Risk IPR Net Zero Cumulative 2050 per NZD Millions
LC157 :     Low Carbon Transition Overall Value at Risk IPR Net Zero Cumulative 2050 per AUD Millions
LC158 :     Low Carbon Transition Overall Value at Risk IPR Net Zero Cumulative 2050 per CHF Millions
LC159 :     Low Carbon Transition Overall Value at Risk IPR Net Zero Cumulative 2050 per SGD Millions
LC160 :     Low Carbon Transition Overall Value at Risk % of Covered Holdings IPR Net Zero 2050 USD
LC161 :     Low Carbon Transition Overall Value at Risk % of Covered Holdings IPR Net Zero 2050 GBP
LC162 :     Low Carbon Transition Overall Value at Risk % of Covered Holdings IPR Net Zero 2050 EUR
LC163 :     Low Carbon Transition Overall Value at Risk % of Covered Holdings IPR Net Zero 2050 HKD
LC164 :     Low Carbon Transition Overall Value at Risk % of Covered Holdings IPR Net Zero 2050 NZD
LC165 :     Low Carbon Transition Overall Value at Risk % of Covered Holdings IPR Net Zero 2050 AUD
LC166 :     Low Carbon Transition Overall Value at Risk % of Covered Holdings IPR Net Zero 2050 CHF
LC167 :     Low Carbon Transition Overall Value at Risk % of Covered Holdings IPR Net Zero 2050 SGD
LC168 :     Low Carbon Transition Market Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 USD
LC169 :     Low Carbon Transition Market Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 GBP
LC170 :     Low Carbon Transition Market Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 EUR
LC171 :     Low Carbon Transition Market Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 HKD
LC172 :     Low Carbon Transition Market Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 NZD
LC173 :     Low Carbon Transition Market Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 AUD
LC174 :     Low Carbon Transition Market Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 CHF
LC175 :     Low Carbon Transition Market Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 SGD
LC176 :     Low Carbon Transition Market Value at Risk IPR Net Zero Cumulative 2050 per USD Millions
LC177 :     Low Carbon Transition Market Value at Risk IPR Net Zero Cumulative 2050 per GBP Millions
LC178 :     Low Carbon Transition Market Value at Risk IPR Net Zero Cumulative 2050 per EUR Millions
LC179 :     Low Carbon Transition Market Value at Risk IPR Net Zero Cumulative 2050 per HKD Millions
LC180 :     Low Carbon Transition Market Value at Risk IPR Net Zero Cumulative 2050 per NZD Millions
LC181 :     Low Carbon Transition Market Value at Risk IPR Net Zero Cumulative 2050 per AUD Millions
LC182 :     Low Carbon Transition Market Value at Risk IPR Net Zero Cumulative 2050 per CHF Millions
LC183 :     Low Carbon Transition Market Value at Risk IPR Net Zero Cumulative 2050 per SGD Millions
LC184 :     Low Carbon Transition Market Value at Risk % of Covered Holdings IPR Net Zero 2050 USD
LC185 :     Low Carbon Transition Market Value at Risk % of Covered Holdings IPR Net Zero 2050 GBP
LC186 :     Low Carbon Transition Market Value at Risk % of Covered Holdings IPR Net Zero 2050 EUR
LC187 :     Low Carbon Transition Market Value at Risk % of Covered Holdings IPR Net Zero 2050 HKD
LC188 :     Low Carbon Transition Market Value at Risk % of Covered Holdings IPR Net Zero 2050 NZD
LC189 :     Low Carbon Transition Market Value at Risk % of Covered Holdings IPR Net Zero 2050 AUD
LC190 :     Low Carbon Transition Market Value at Risk % of Covered Holdings IPR Net Zero 2050 CHF
LC191 :     Low Carbon Transition Market Value at Risk % of Covered Holdings IPR Net Zero 2050 SGD
LC192 :     Low Carbon Transition Policy Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 USD
LC193 :     Low Carbon Transition Policy Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 GBP
LC194 :     Low Carbon Transition Policy Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 EUR
LC195 :     Low Carbon Transition Policy Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 HKD
LC196 :     Low Carbon Transition Policy Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 NZD
LC197 :     Low Carbon Transition Policy Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 AUD
LC198 :     Low Carbon Transition Policy Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 CHF
LC199 :     Low Carbon Transition Policy Value at Risk IPR Net Zero IPR Net Zero Cumulative 2050 SGD
LC200 :     Low Carbon Transition Policy Value at Risk IPR Net Zero Cumulative 2050 per USD Millions
LC201 :     Low Carbon Transition Policy Value at Risk IPR Net Zero Cumulative 2050 per GBP Millions
LC202 :     Low Carbon Transition Policy Value at Risk IPR Net Zero Cumulative 2050 per EUR Millions
LC203 :     Low Carbon Transition Policy Value at Risk IPR Net Zero Cumulative 2050 per HKD Millions
LC204 :     Low Carbon Transition Policy Value at Risk IPR Net Zero Cumulative 2050 per NZD Millions
LC205 :     Low Carbon Transition Policy Value at Risk IPR Net Zero Cumulative 2050 per AUD Millions
LC206 :     Low Carbon Transition Policy Value at Risk IPR Net Zero Cumulative 2050 per CHF Millions
LC207 :     Low Carbon Transition Policy Value at Risk IPR Net Zero Cumulative 2050 per SGD Millions
LC208 :     Low Carbon Transition Policy Value at Risk % of Covered Holdings IPR Net Zero 2050 USD
LC209 :     Low Carbon Transition Policy Value at Risk % of Covered Holdings IPR Net Zero 2050 GBP
LC210 :     Low Carbon Transition Policy Value at Risk % of Covered Holdings IPR Net Zero 2050 EUR
LC211 :     Low Carbon Transition Policy Value at Risk % of Covered Holdings IPR Net Zero 2050 HKD
LC212 :     Low Carbon Transition Policy Value at Risk % of Covered Holdings IPR Net Zero 2050 NZD
LC213 :     Low Carbon Transition Policy Value at Risk % of Covered Holdings IPR Net Zero 2050 AUD
LC214 :     Low Carbon Transition Policy Value at Risk % of Covered Holdings IPR Net Zero 2050 CHF
LC215 :     Low Carbon Transition Policy Value at Risk % of Covered Holdings IPR Net Zero 2050 SGD
LC216 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero 2050 All Scopes
LC217 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap 2050 All Scopes
LC218 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap % 2050 All Scopes
LC219 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero 2050 All Scopes
LC220 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap 2050 All Scopes
LC221 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap % 2050 All Scopes
LC222 :     Portfolio Budget Cumulative GHG Emissions IEA Net Zero 2050 All Scopes
LC223 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero 2050 Scope 1
LC224 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap 2050 Scope 1
LC225 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap % 2050 Scope 1
LC226 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero 2050 Scope 1
LC227 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap 2050 Scope 1
LC228 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap % 2050 Scope 1
LC229 :     Portfolio Budget Cumulative GHG Emissions Gap IEA Net Zero 2050 Scope 1
LC230 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero 2050 Scope 2
LC231 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap 2050 Scope 2
LC232 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap % 2050 Scope 2
LC233 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero 2050 Scope 2
LC234 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap 2050 Scope 2
LC235 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap % 2050 Scope 2
LC236 :     Portfolio Budget Cumulative GHG Emissions Gap IEA Net Zero 2050 Scope 2
LC237 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero 2050 Scope 3 Downstream
LC238 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap 2050 Scope 3 Downstream
LC239 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap % 2050 Scope 3 Downstream
LC240 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero 2050 Scope 3 Downstream
LC241 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap 2050 Scope 3 Downstream
LC242 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap % 2050 Scope 3 Downstream
LC243 :     Portfolio Budget Cumulative GHG Emissions Gap IEA Net Zero 2050 Scope 3 Downstream
LC244 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero 2050 Scope 3 Upstream
LC245 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap 2050 Scope 3 Upstream
LC246 :     Portfolio Baseline Cumulative GHG Emissions IEA Net Zero Gap % 2050 Scope 3 Upstream
LC247 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero 2050 Scope 3 Upstream
LC248 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap 2050 Scope 3 Upstream
LC249 :     Portfolio Expected Cumulative GHG Emissions IEA Net Zero Gap % 2050 Scope 3 Upstream
LC250 :     Portfolio Budget Cumulative GHG Emissions Gap IEA Net Zero 2050 Scope 3 Upstream
LC251 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS 2050 All Scopes
LC252 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap 2050 All Scopes
LC253 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap % 2050 All Scopes
LC254 :     Portfolio Expected Cumulative GHG Emissions IPR FPS 2050 All Scopes
LC255 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap 2050 All Scopes
LC256 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap % 2050 All Scopes
LC257 :     Portfolio Budget Cumulative GHG Emissions IPR FPS 2050 All Scopes
LC258 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS 2050 Scope 1
LC259 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap 2050 Scope 1
LC260 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap % 2050 Scope 1
LC261 :     Portfolio Expected Cumulative GHG Emissions IPR FPS 2050 Scope 1
LC262 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap 2050 Scope 1
LC263 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap % 2050 Scope 1
LC264 :     Portfolio Budget Cumulative GHG Emissions Gap IPR FPS 2050 Scope 1
LC265 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS 2050 Scope 2
LC266 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap 2050 Scope 2
LC267 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap % 2050 Scope 2
LC268 :     Portfolio Expected Cumulative GHG Emissions IPR FPS 2050 Scope 2
LC269 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap 2050 Scope 2
LC270 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap % 2050 Scope 2
LC271 :     Portfolio Budget Cumulative GHG Emissions Gap IPR FPS 2050 Scope 2
LC272 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS 2050 Scope 3 Downstream
LC273 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap 2050 Scope 3 Downstream
LC274 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap % 2050 Scope 3 Downstream
LC275 :     Portfolio Expected Cumulative GHG Emissions IPR FPS 2050 Scope 3 Downstream
LC276 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap 2050 Scope 3 Downstream
LC277 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap % 2050 Scope 3 Downstream
LC278 :     Portfolio Budget Cumulative GHG Emissions Gap IPR FPS 2050 Scope 3 Downstream
LC279 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS 2050 Scope 3 Upstream
LC280 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap 2050 Scope 3 Upstream
LC281 :     Portfolio Baseline Cumulative GHG Emissions IPR FPS Gap % 2050 Scope 3 Upstream
LC282 :     Portfolio Expected Cumulative GHG Emissions IPR FPS 2050 Scope 3 Upstream
LC283 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap 2050 Scope 3 Upstream
LC284 :     Portfolio Expected Cumulative GHG Emissions IPR FPS Gap % 2050 Scope 3 Upstream
LC285 :     Portfolio Budget Cumulative GHG Emissions Gap IPR FPS 2050 Scope 3 Upstream
LC286 :     Low Carbon Transition Overall Value at Risk IEA Net Zero Cumulative 2050 USD
LC287 :     Low Carbon Transition Overall Value at Risk IEA Net Zero Cumulative 2050 GBP
